"","submitted_name","ScientificName","score","data_source_title"
"1","Alternanthera philoxeroides","Alternanthera philoxeroides",0.988,"Integrated Taxonomic Information SystemITIS"
"2","Ambloplites rupestris","Ambloplites rupestris",0.988,"Integrated Taxonomic Information SystemITIS"
"3","Ameiurus natalis","Ameiurus natalis",0.988,"Integrated Taxonomic Information SystemITIS"
"4","Carassius gibelio","Carassius gibelio",0.988,"Integrated Taxonomic Information SystemITIS"
"5","Cercopagis pengoi","Cercopagis pengoi",0.988,"Integrated Taxonomic Information SystemITIS"
"6","Clarias batrachus","Clarias batrachus",0.988,"Integrated Taxonomic Information SystemITIS"
"7","Corbicula fluminea","Corbicula fluminea",0.988,"Integrated Taxonomic Information SystemITIS"
"8","Cyprinella lutrensis","Cyprinella lutrensis",0.988,"Integrated Taxonomic Information SystemITIS"
"9","Dreissena polymorpha","Dreissena polymorpha",0.988,"Integrated Taxonomic Information SystemITIS"
"10","Esox lucius","Esox lucius",0.988,"Integrated Taxonomic Information SystemITIS"
"11","Gambusia affinis","Gambusia affinis",0.988,"Integrated Taxonomic Information SystemITIS"
"12","Hydrilla verticillata","Hydrilla verticillata",0.988,"Integrated Taxonomic Information SystemITIS"
"13","Hydrocharis morsus-ranae","Hydrocharis morsus-ranae",0.988,"Integrated Taxonomic Information SystemITIS"
"14","Ictalurus furcatus","Ictalurus furcatus",0.988,"Integrated Taxonomic Information SystemITIS"
"15","Lagarosiphon major","Lagarosiphon major",0.988,"Integrated Taxonomic Information SystemITIS"
"16","Lepomis cyanellus","Lepomis cyanellus",0.988,"Integrated Taxonomic Information SystemITIS"
"17","Lepomis gibbosus","Lepomis gibbosus",0.988,"Integrated Taxonomic Information SystemITIS"
"18","Lepomis macrochirus","Lepomis macrochirus",0.988,"Integrated Taxonomic Information SystemITIS"
"19","Lepomis microlophus","Lepomis microlophus",0.988,"Integrated Taxonomic Information SystemITIS"
"20","Leuciscus leuciscus","Leuciscus leuciscus",0.988,"Integrated Taxonomic Information SystemITIS"
"21","Micropterus salmoides","Micropterus salmoides",0.988,"Integrated Taxonomic Information SystemITIS"
"22","Misgurnus anguillicaudatus","Misgurnus anguillicaudatus",0.988,"Integrated Taxonomic Information SystemITIS"
"23","Myriophyllum aquaticum","Myriophyllum aquaticum",0.988,"Integrated Taxonomic Information SystemITIS"
"24","Myriophyllum spicatum","Myriophyllum spicatum",0.988,"Integrated Taxonomic Information SystemITIS"
"25","Neogobius melanostomus","Neogobius melanostomus",0.988,"Integrated Taxonomic Information SystemITIS"
"26","Oreochromis aureus","Oreochromis aureus",0.988,"Integrated Taxonomic Information SystemITIS"
"27","Oreochromis mossambicus","Oreochromis mossambicus",0.988,"Integrated Taxonomic Information SystemITIS"
"28","Oreochromis niloticus","Oreochromis niloticus",0.988,"Integrated Taxonomic Information SystemITIS"
"29","Perca fluviatilis","Perca fluviatilis",0.988,"Integrated Taxonomic Information SystemITIS"
"30","Perccottus glenii","Perccottus glenii",0.988,"Integrated Taxonomic Information SystemITIS"
"31","Phoxinus phoxinus","Phoxinus phoxinus",0.988,"Integrated Taxonomic Information SystemITIS"
"32","Pistia stratiotes","Pistia stratiotes",0.988,"Integrated Taxonomic Information SystemITIS"
"33","Poecilia latipinna","Poecilia latipinna",0.988,"Integrated Taxonomic Information SystemITIS"
"34","Poecilia reticulata","Poecilia reticulata",0.988,"Integrated Taxonomic Information SystemITIS"
"35","Pomacea canaliculata","Pomacea canaliculata",0.988,"Integrated Taxonomic Information SystemITIS"
"36","Potamogeton crispus","Potamogeton crispus",0.988,"Integrated Taxonomic Information SystemITIS"
"37","Potamopyrgus antipodarum","Potamopyrgus antipodarum",0.988,"Integrated Taxonomic Information SystemITIS"
"38","Procambarus clarkii","Procambarus clarkii",0.988,"Integrated Taxonomic Information SystemITIS"
"39","Pseudorasbora parva","Pseudorasbora parva",0.988,"Integrated Taxonomic Information SystemITIS"
"40","Salvinia minima","Salvinia minima",0.988,"Integrated Taxonomic Information SystemITIS"
"41","Salvinia molesta","Salvinia molesta",0.988,"Integrated Taxonomic Information SystemITIS"
"42","Sander lucioperca","Sander lucioperca",0.988,"Integrated Taxonomic Information SystemITIS"
"43","Sander vitreus","Sander vitreus",0.988,"Integrated Taxonomic Information SystemITIS"
"44","Silurus glanis","Silurus glanis",0.988,"Integrated Taxonomic Information SystemITIS"
